Player,Pos,School,College,Ht,feet,inch,ht_inch,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Laiatu Latu,EDGE,UCLA,College Stats,5-Jun,6,5,77,259,4.64,32,,116,,
Dylan Laube,RB,New Hampshire,,10-May,5,10,70,206,4.54,37,23,118,6.84,4.02
Sataoa Laumea,G,Utah,College Stats,4-Jun,6,4,76,319,,26,,104,,
Devin Leary,QB,Kentucky,College Stats,1-Jun,6,1,73,215,,,,,,
Matt Lee,C,Miami,,4-Jun,6,4,76,301,5.03,31,,111,,
Logan Lee,DT,Iowa,College Stats,5-Jun,6,5,77,281,5.05,31.5,25,114,7.16,4.37
Xavier Legette,WR,South Carolina,College Stats,1-Jun,6,1,73,221,4.39,40,,126,,
Kaitori Leveston,G,Kansas St.,College Stats,4-Jun,6,4,76,326,5.38,27.5,,108,,4.89
Beaux Limmer,C,Arkansas,College Stats,5-Jun,6,5,77,302,5.22,36.5,,110,7.47,4.57
Marist Liufau,LB,Notre Dame,College Stats,2-Jun,6,2,74,234,4.64,,,,,
MarShawn Lloyd,RB,USC,College Stats,9-May,5,9,69,220,4.46,36,25,118,,
Zion Logue,DT,Georgia,College Stats,6-Jun,6,6,78,314,5.14,29,,109,,4.92
Jordan Magee,LB,Temple,College Stats,1-Jun,6,1,73,228,4.55,35.5,,124,,
Christian Mahogany,G,Boston Col.,College Stats,3-Jun,6,3,75,314,5.13,32.5,,109,7.81,4.53
Drake Maye,QB,North Carolina,College Stats,4-Jun,6,4,76,223,,,,,,
Luke McCaffrey,WR,Rice,College Stats,2-Jun,6,2,74,198,4.46,36,,121,6.7,4.02
J.J. McCarthy,QB,Michigan,College Stats,3-Jun,6,3,75,219,,,,,6.82,4.23
Jase McClellan,RB,Alabama,College Stats,10-May,5,10,70,221,,,20,,,
Ladd McConkey,WR,Georgia,College Stats,Jun-00,6,1,73,186,4.39,36,13,124,,
Mason McCormick,G,South Dakota St.,,4-Jun,6,4,76,309,5.08,35.5,,117,7.59,4.45
Dwight McGlothern,CB,Arkansas,College Stats,2-Jun,6,2,74,185,4.47,32,,115,,
Braiden McGregor,EDGE,Michigan,College Stats,5-Jun,6,5,77,257,,,,,,
Kool-Aid McKinstry,CB,Alabama,College Stats,Jun-00,6,1,73,199,,,,,,
Tanner McLachlan,TE,Arizona,College Stats,5-Jun,6,5,77,244,4.61,35,,117,,
Dylan McMahon,C,North Carolina St.,College Stats,3-Jun,6,3,75,299,5.1,33,,115,7.26,4.33
Jalen McMillan,WR,Washington,College Stats,1-Jun,6,1,73,197,4.47,37,,127,6.94,4.18
Patrick McMorris,SAF,California,College Stats,Jun-00,6,1,73,207,,31,14,112,,
Bub Means,WR,Pittsburgh,College Stats,1-Jun,6,1,73,212,4.43,39.5,19,122,,
Max Melton,CB,Rutgers,College Stats,11-May,5,11,71,187,4.39,40.5,,136,,
Joe Milton,QB,Tennessee,College Stats,5-Jun,6,5,77,235,,35,,121,,
Kendall Milton,RB,Georgia,College Stats,2-Jun,6,2,74,225,4.62,35.5,18,124,,4.38
Amarius Mims,OT,Georgia,College Stats,8-Jun,6,8,80,340,5.07,25.5,,111,,
Adonai Mitchell,WR,Texas,College Stats,2-Jun,6,2,74,205,4.34,39.5,,136,,
Quinyon Mitchell,CB,Toledo,College Stats,Jun-00,6,1,73,195,4.33,38,20,122,,
Jacob Monk,C,Duke,College Stats,3-Jun,6,3,75,308,5.09,29.5,,108,,
Jordan Morgan,OT,Arizona,College Stats,5-Jun,6,5,77,311,5.04,28,,110,,
Darius Muasau,LB,UCLA,College Stats,Jun-00,6,1,73,225,4.7,36.5,,117,,
Gabriel Murphy,EDGE,UCLA,College Stats,2-Jun,6,2,74,247,4.68,39.5,25,123,,
Myles Murphy,DT,North Carolina,College Stats,4-Jun,6,4,76,309,5.2,28.5,,106,,4.81
Malik Mustapha,SAF,Wake Forest,College Stats,10-May,5,10,70,209,,,22,,,
Malik Nabers,WR,LSU,College Stats,Jun-00,6,1,73,200,,,,,,
Jer'Zhan Newton,DT,Illinois,College Stats,2-Jun,6,2,74,304,,,,,,
Josh Newton,CB,TCU,College Stats,11-May,5,11,71,190,4.51,34,15,124,,4.15
Bo Nix,QB,Oregon,College Stats,2-Jun,6,2,74,214,,,,,,
Maema Njongmeta,LB,Wisconsin,College Stats,Jun-00,6,1,73,229,4.91,,,,,4.66
Hunter Nourzad,C,Penn St.,College Stats,3-Jun,6,3,75,317,,,,,,
Tyler Nubin,SAF,Minnesota,College Stats,1-Jun,6,1,73,199,,,,,,
Drake Nugent,C,Michigan,College Stats,2-Jun,6,2,74,298,5.23,29.5,,101,7.33,4.5
Rome Odunze,WR,Washington,College Stats,3-Jun,6,3,75,212,4.45,39,,124,6.88,4.03
Eyabi Okie-Anoma,EDGE,Charlotte,,5-Jun,6,5,77,260,,,,,,
Olakitan Oladapo,SAF,Oregon St.,,2-Jun,6,2,74,216,4.58,36,15,117,,
Ruke Orhorhoro,DT,Clemson,College Stats,4-Jun,6,4,76,294,4.89,32,29,116,,
Tyler Owens,SAF,Texas Tech,College Stats,2-Jun,6,2,74,216,,41,,146,,
Patrick Paul,OT,Houston,College Stats,8-Jun,6,8,80,331,5.13,29,,,7.65,
Julian Pearl,OT,Illinois,College Stats,6-Jun,6,6,78,312,,,,,,
Ricky Pearsall,WR,Florida,College Stats,1-Jun,6,1,73,189,4.41,42,17,129,6.64,4.05
Andru Phillips,CB,Kentucky,College Stats,11-May,5,11,71,190,4.48,42,,135,,
Prince Pines,G,Tulane,College Stats,5-Jun,6,5,77,322,5.34,30,,,,
Ja'Lynn Polk,WR,Washington,College Stats,1-Jun,6,1,73,203,4.52,37.5,,129,,
Jackson Powers-Johnson,C,Oregon,College Stats,3-Jun,6,3,75,328,,32,,104,,
Sedrick Van Pran-Granger,C,Georgia,,4-Jun,6,4,76,298,5.2,,,,7.46,4.82
Michael Pratt,QB,Tulane,College Stats,3-Jun,6,3,75,217,,36,,114,7.2,4.23
Deantre Prince,CB,Mississippi,College Stats,Jun-00,6,1,73,183,4.38,34.5,,125,,
Nehemiah Pritchett,CB,Auburn,College Stats,Jun-00,6,1,73,190,4.36,34.5,,,,
Josh Proctor,SAF,Ohio St.,College Stats,2-Jun,6,2,74,199,4.55,32.5,,121,,
Dominick Puni,G,Kansas,College Stats,5-Jun,6,5,77,313,5.35,30,,107,7.47,4.4
Keith Randolph,DT,Illinois,College Stats,4-Jun,6,4,76,296,5.15,28.5,,105,,
Spencer Rattler,QB,South Carolina,College Stats,Jun-00,6,1,73,211,4.95,32,,108,7.21,4.37
Andrew Raym,C,Oklahoma,College Stats,4-Jun,6,4,76,314,5.42,24.5,,95,,
Austin Reed,QB,Western Kentucky,College Stats,2-Jun,6,2,74,220,4.82,,,,,
Tip Reiman,TE,Illinois,College Stats,5-Jun,6,5,77,271,4.64,33.5,28,121,7.02,4.26
Brenden Rice,WR,USC,College Stats,2-Jun,6,2,74,208,4.5,36.5,13,119,,
Decamerion Richardson,CB,Mississippi St.,College Stats,2-Jun,6,2,74,188,4.34,35,,128,,
Demani Richardson,SAF,Texas A&M,College Stats,1-Jun,6,1,73,210,4.6,31,,116,,
Chop Robinson,EDGE,Penn St.,,3-Jun,6,3,75,254,4.48,34.5,,128,,4.25
Darius Robinson,DE,Missouri,College Stats,5-Jun,6,5,77,285,4.95,35,21,111,,
Keilan Robinson,RB,Texas,College Stats,8-May,5,8,68,191,4.42,33,,125,,
Layden Robinson,G,Texas A&M,College Stats,4-Jun,6,4,76,302,,26.5,,111,,
Tayvion Robinson,WR,Kentucky,College Stats,11-May,5,11,71,191,,,,,,
Justin Rogers,DT,Auburn,College Stats,3-Jun,6,3,75,330,,24.5,21,99,,4.87
Christian Roland-Wallace,CB,USC,College Stats,Jun-00,6,1,73,201,,,17,,,
Marcus Rosemy-Jacksaint,WR,Georgia,College Stats,1-Jun,6,1,73,195,,35,,119,,
Roger Rosengarten,OT,Washington,College Stats,5-Jun,6,5,77,308,4.92,30,,113,,4.6
Walter Rouse,OT,Oklahoma,College Stats,6-Jun,6,6,78,313,,,,,,
Mike Sainristil,CB,Michigan,College Stats,9-May,5,9,69,182,4.47,40,14,131,6.99,4.01
Andre' Sam,SAF,LSU,,11-May,5,11,71,191,4.59,36,,123,,
Nick Samac,C,Michigan St.,College Stats,4-Jun,6,4,76,307,,,,,,
Ja'Tavion Sanders,TE,Texas,College Stats,4-Jun,6,4,76,245,4.69,,,,,4.32
Cody Schrader,RB,Missouri,College Stats,9-May,5,9,69,202,4.61,33,,,,
Will Shipley,RB,Clemson,College Stats,11-May,5,11,71,206,,,,,,
Jaden Shirden,RB,Monmouth,,8-May,5,8,68,187,4.45,34.5,,117,,
Jaylin Simpson,SAF,Auburn,College Stats,Jun-00,6,1,73,179,4.45,39.5,,133,,
Ben Sinnott,TE,Kansas St.,College Stats,4-Jun,6,4,76,250,4.68,40,,126,6.82,4.23
Kedon Slovis,QB,BYU,College Stats,3-Jun,6,3,75,223,4.55,30,,118,,
Ainias Smith,WR,Texas A&M,College Stats,9-May,5,9,69,190,,,21,,,
Maason Smith,DT,LSU,College Stats,5-Jun,6,5,77,306,5.01,31,,108,7.62,4.69
Tykee Smith,SAF,Georgia,College Stats,10-May,5,10,70,202,4.46,36,,120,,
Chau Smith-Wade,CB,Washington St.,College Stats,10-May,5,10,70,184,4.54,34.5,18,125,7.05,4.32
Javon Solomon,EDGE,Troy,College Stats,1-Jun,6,1,73,246,4.72,37,23,119,,
Brevyn Spann-Ford,TE,Minnesota,College Stats,7-Jun,6,7,79,260,4.77,31.5,,116,7.38,
Fabien Lovett Sr.,DT,Florida St.,,4-Jun,6,4,76,314,,,,,,
Tarheeb Still,CB,Maryland,College Stats,Jun-00,6,1,73,189,4.52,38,,120,,
Cade Stover,TE,Ohio St.,College Stats,4-Jun,6,4,76,247,4.65,34.5,,117,,4.45
Kingsley Suamataia,OT,BYU,College Stats,5-Jun,6,5,77,326,5.04,28,,110,,
Jalen Sundell,C,North Dakota St.,,5-Jun,6,5,77,301,,,,,,
T'Vondre Sweat,DT,Texas,College Stats,5-Jun,6,5,77,366,5.27,26,,98,,
Marques Tampa,CB,Iowa St.,,1-Jun,6,1,73,189,,,,,,
Leonard Taylor,DT,Miami,College Stats,4-Jun,6,4,76,303,5.12,30,,109,7.81,
Dadrion Taylor-Demerson,SAF,Texas Tech,College Stats,10-May,5,10,70,197,4.41,38,,123,,
Nathan Thomas,OT,Louisiana,,5-Jun,6,5,77,332,5.19,25,,107,8.01,
Brian Thomas,WR,LSU,College Stats,3-Jun,6,3,75,209,4.33,38.5,11,126,,
Xavier Thomas,EDGE,Clemson,College Stats,2-Jun,6,2,74,244,4.62,32.5,26,120,,
Jamari Thrash,WR,Louisville,College Stats,Jun-00,6,1,73,188,4.46,34,,120,7.16,
Ro Torrence,CB,Arizona St.,College Stats,3-Jun,6,3,75,208,,,,,,
Jordan Travis,QB,Florida St.,College Stats,1-Jun,6,1,73,200,,,,,,
Bralen Trice,EDGE,Washington,College Stats,4-Jun,6,4,76,245,4.72,,,,,
Zion Tupuola-Fetui,EDGE,Washington,College Stats,3-Jun,6,3,75,244,,,,,,
Charles Turner,C,LSU,College Stats,4-Jun,6,4,76,303,,31,,109,7.88,4.62
Dallas Turner,EDGE,Alabama,College Stats,3-Jun,6,3,75,247,4.46,40.5,,127,,
David Ugwoegbu,EDGE,Houston,College Stats,4-Jun,6,4,76,250,,31.5,21,,,
Edefuan Ulofoshio,LB,Washington,College Stats,1-Jun,6,1,73,236,4.56,39.5,,128,,
Sione Vaki,SAF,Utah,College Stats,11-May,5,11,71,210,4.62,39.5,20,125,,
Devaughn Vele,WR,Utah,College Stats,4-Jun,6,4,76,203,4.47,36,,126,,
