Player,Pos,School,College,Ht,feet,inch,ht_inch,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Jared Verse,EDGE,Florida St.,College Stats,4-Jun,6,4,76,254,4.58,35,31,127,7.31,4.44
Kimani Vidal,RB,Troy,College Stats,8-May,5,8,68,213,4.46,37.5,18,120,7.01,4.15
Devontez Walker,WR,North Carolina,College Stats,2-Jun,6,2,74,193,4.36,40.5,,134,,
Caedan Wallace,OT,Penn St.,College Stats,5-Jun,6,5,77,314,5.15,31,,116,,
Josh Wallace,CB,Michigan,College Stats,11-May,5,11,71,185,,34.5,13,120,,4.35
Trevin Wallace,LB,Kentucky,College Stats,1-Jun,6,1,73,237,4.51,37.5,,127,,
Tahj Washington,WR,USC,College Stats,10-May,5,10,70,174,,35,,122,,
Malik Washington,WR,Virginia,College Stats,9-May,5,9,69,191,4.47,42.5,19,126,,
Nathaniel Watson,LB,Mississippi St.,College Stats,2-Jun,6,2,74,233,4.63,31,,111,,
Eric Watts,DE,Connecticut,College Stats,6-Jun,6,6,78,274,4.67,36.5,21,117,7.59,4.73
Ryan Watts,CB,Texas,College Stats,3-Jun,6,3,75,208,4.53,40.5,,125,6.82,4.13
Xavier Weaver,WR,Colorado,College Stats,Jun-00,6,1,73,169,,,,,,
Jack Westover,TE,Washington,College Stats,3-Jun,6,3,75,243,,,,,,
Jordan Whittington,WR,Texas,College Stats,1-Jun,6,1,73,205,,,18,,,
Nate Wiggins,CB,Clemson,College Stats,1-Jun,6,1,73,173,4.28,36,,127,,
Jared Wiley,TE,TCU,College Stats,6-Jun,6,6,78,249,4.62,37,,118,7.19,
Michael Wiley,RB,Arizona,College Stats,11-May,5,11,71,210,4.51,33.5,,119,,4.43
Caleb Williams,QB,USC,College Stats,1-Jun,6,1,73,214,,,,,,
Evan Williams,SAF,Oregon,College Stats,11-May,5,11,71,200,4.6,40.5,,126,,
Isaiah Williams,WR,Illinois,College Stats,9-May,5,9,69,182,4.63,38,17,123,6.75,
James Williams,SAF,Miami,College Stats,4-Jun,6,4,76,231,4.65,30,,117,,
Miyan Williams,RB,Ohio St.,College Stats,9-May,5,9,69,229,,,,,,
Johnny Wilson,WR,Florida St.,College Stats,6-Jun,6,6,78,231,4.52,37,,128,,4.11
Payton Wilson,LB,North Carolina St.,College Stats,4-Jun,6,4,76,233,4.43,34.5,,119,,
Roman Wilson,WR,Michigan,College Stats,11-May,5,11,71,185,4.39,,12,,,
Mekhi Wingo,DT,LSU,College Stats,Jun-00,6,1,73,284,4.85,31.5,25,109,,
Xavier Worthy,WR,Texas,College Stats,11-May,5,11,71,165,4.21,41,,131,,
Jaylen Wright,RB,Tennessee,College Stats,11-May,5,11,71,210,4.38,38,,134,,
Zak Zinter,G,Michigan,College Stats,6-Jun,6,6,78,309,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
