Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Jamaal Williams,2017,RB,BYU,212,6,1,73,4.59,0.908292323,30,0.800178481,,0,123,0.92520564,7.25,0.872707026,4.53,0.896798122,4.403181592
Billy Brown,2017,TE,Shepherd,254,6,3,75,4.7,1.091884573,29,0.952137938,23,1.247314433,118,1.092575421,,0,,0,4.383912365
Budda Baker,2017,S,Washington,195,5,10,70,4.45,0.82632758,32.5,0.764579949,15,0.582877166,115,0.762965553,6.76,0.717713462,4.08,0.712410943,4.366874653
Obi Melifonwu,2017,S,Connecticut,224,6,4,76,4.4,1.042289931,44,1.29098495,17,0.823879437,141,1.166689158,,0,,0,4.323843476
Travis Rudolph,2017,WR,Florida State,189,6,1,73,4.65,0.799302772,31.5,0.749034998,12,0.471323444,114,0.764476174,6.93,0.743686065,4.46,0.78714962,4.314973073
Stanley Williams,2017,RB,Kentucky,190,5,7,67,4.51,0.760381374,36,0.789837586,18,0.652310006,121,0.748666176,6.86,0.679241581,4.18,0.680679158,4.311115881
Artavis Scott,2017,WR,Clemson,193,5,10,70,4.61,0.789467092,31,0.721811729,13,0.49997908,116,0.761706703,7.19,0.75553743,4.49,0.77596022,4.304462253
Marquel Lee,2017,ILB,Wake Forest,240,6,3,75,,1,31,0.961703266,25,1.281048716,118,1.032354728,,0,,0,4.275106711
Jeremy McNichols,2017,RB,Boise State,214,5,9,69,4.49,0.885923315,35.5,0.903437492,,0,121,0.868405716,6.93,0.795917115,4.28,0.808433684,4.262117321
Josh Reynolds,2017,WR,Texas A&M,194,6,3,75,4.52,0.867169843,37,0.927836834,,0,124,0.876918268,6.83,0.772957191,4.13,0.768689258,4.213571395
James Quick,2017,WR,Louisville,186,6,1,73,4.6,0.795165595,31,0.725444831,11,0.425188609,115,0.758941119,7,0.739274267,4.39,0.762496917,4.206511337
Keevan Lucas,2017,WR,Tulsa,192,5,9,69,4.55,0.784365586,32.5,0.742062649,11,0.414854816,119,0.766252174,7.23,0.745007014,4.43,0.750743901,4.203286141
Rodney Adams,2017,WR,South Florida,189,6,1,73,4.44,0.837107633,29.5,0.70147722,8,0.314215629,125,0.838241419,6.98,0.749051765,4.28,0.75538125,4.195474917
Travin Dural,2017,WR,LSU,202,6,1,73,4.57,0.869235866,30.5,0.77514145,,0,116,0.831393563,7.29,0.836129416,4.55,0.858268935,4.17016923
Michael Rector,2017,WR,Stanford,193,6,1,73,4.42,0.85869218,36.5,0.886298319,,0,129,0.883373401,6.77,0.74189182,4.19,0.755147796,4.125403517
Drew Morgan,2017,WR,Arkansas,190,6,1,73,4.74,0.788274953,30,0.717141092,10,0.394847682,112,0.755038196,6.85,0.738990367,4.12,0.730990014,4.125282305
Cooper Kupp,2017,WR,East. Washington,204,6,2,74,4.62,0.880236797,31,0.806548473,,0,116,0.851126897,6.75,0.79256959,4.08,0.787879531,4.118361287
Gabe Marks,2017,WR,Washington State,189,5,11,71,4.56,0.792747568,29.5,0.682258666,11,0.4202096,117,0.763098243,7.01,0.731661016,4.2,0.720953427,4.11092852
Shelton Gibson,2017,WR,West Virginia,191,5,11,71,4.5,0.81181825,32,0.747908702,8,0.308840918,118,0.777764582,6.83,0.720417352,4.2,0.728582564,4.095332367
Channing Stribling,2017,CB,Michigan,188,6,1,73,4.6,0.803715762,31.5,0.74507185,5,0.195345695,114,0.760431326,6.94,0.74081868,4.56,0.800540521,4.045923835
Matt Milano,2017,OLB,Boston Col.,223,6,1,73,4.67,0.939053748,35,0.981980039,24,1.112223576,126,0.996948461,,0,,0,4.030205823
Chris Carson,2017,RB,Oklahoma State,218,6,1,73,4.58,0.936038008,37,1.014817552,23,1.041982251,130,1.005534891,,0,,0,3.998372702
Josh Jones,2017,S,North Carolina State,220,6,1,73,4.41,0.981039648,37.5,1.037967369,20,0.914384106,132,1.030371674,,0,,0,3.963762797
Kevin King,2017,CB,Washington,200,6,3,75,4.43,0.912151845,39.5,1.021163414,11,0.469717862,,0,6.56,0.765361908,3.89,0.746412025,3.914807055
Sidney Jones,2017,CB,Washington,186,6,1,73,4.47,0.818291216,33.5,0.783948446,,0,123,0.811737023,7.02,0.741386479,4.28,0.743391071,3.898754236
Kermit Whitfield,2017,WR,Florida State,185,5,8,68,4.44,0.763268394,32.5,0.704645843,8,0.286499428,120,0.733730084,7.17,0.701570859,4.37,0.703233976,3.892948585
Trent Taylor,2017,WR,Louisiana Tech,181,5,8,68,4.63,0.716120497,33,0.700016569,13,0.455495375,117,0.699919008,6.74,0.645236801,4.01,0.63134919,3.84813744
Tanner Vallejo,2017,ILB,Boise State,228,6,1,73,4.67,0.960108765,33.5,0.960969063,,0,121,0.97885309,,0,4.39,0.93467364,3.834604558
Sojourn Shelton,2017,CB,Wisconsin,177,5,9,69,4.51,0.729500213,35,0.736711236,10,0.347676621,120,0.712324763,6.92,0.657355342,4.02,0.62803837,3.811606545
Riley Bullough,2017,ILB,Michigan State,226,6,2,74,,1,31.5,0.907940951,20,0.952189277,116,0.942915092,,0,,0,3.80304532
Ryan Switzer,2017,WR,North Carolina,181,5,8,68,4.51,0.735174701,32,0.678803946,11,0.385419163,116,0.693936795,6.77,0.648108774,4,0.629774753,3.771218132
Rayshawn Jenkins,2017,S,Miami (FL),214,6,1,73,4.51,0.93312473,37,0.996197046,19,0.844974039,128,0.971898791,,0,,0,3.746194607
Jermaine Eluemunor,2017,OG,Texas A&M,332,6,4,76,5.22,1.302149297,,0,34,2.442214046,,0,,0,,0,3.744363344
James Conner,2017,RB,Pittsburgh,233,6,1,73,4.65,0.985383841,29,0.850126729,20,0.968415894,113,0.934182363,,0,,0,3.738108827
Howard Wilson,2017,CB,Houston,184,6,1,73,4.57,0.791779204,33.5,0.775518893,,0,119,0.776894565,6.68,0.697893078,3.94,0.676978182,3.719063922
Javarius Leamon,2017,OT,South Carolina State,332,6,7,79,,1,23.5,1.062282261,22,1.64263468,,0,,0,,0,3.704916941
Noah Brown,2017,WR,Ohio State,222,6,2,74,,1,,0,19,0.888569551,,0,7.07,0.903391194,4.33,0.909934974,3.701895719
Speedy Noil,2017,WR,Texas A&M,199,5,11,71,,1,43.5,1.059272199,18,0.723997492,133,0.913350572,,0,,0,3.696620263
Jerod Evans,2017,QB,Virginia Tech,232,6,3,75,4.8,0.976534562,26.5,0.794697807,,0,112,0.947200045,,0,4.41,0.981579783,3.700012197
Isaiah McKenzie,2017,WR,Georgia,173,5,7,67,4.42,0.706444819,36,0.719167907,11,0.36296665,123,0.692947698,6.64,0.598633105,4.15,0.61532813,3.695488309
Jamal Carter,2017,S,Miami (FL),218,6,1,73,4.64,0.923934068,35,0.959962549,19,0.860767947,122,0.943655821,,0,,0,3.688320385
Jayon Brown,2017,ILB,UCLA,231,6,1,73,4.7,0.966532785,31.5,0.91548722,17,0.816087814,120,0.983536598,,0,,0,3.681644417
Victor Bolden Jr.,2017,WR,Oregon State,178,5,8,68,4.54,0.718212022,32,0.667553051,9,0.310116273,117,0.688318141,6.83,0.643015384,4.22,0.653400005,3.680614876
Amara Darboh,2017,WR,Michigan,214,6,2,74,4.45,0.958661067,36,0.982550511,17,0.766385971,124,0.954424584,,0,,0,3.662022132
Jarron Jones,2017,DT,Notre Dame,316,6,6,78,5.33,1.245759146,20.5,0.87084816,22,1.543680783,,0,,0,,0,3.660288089
Mike Williams,2017,WR,Clemson,218,6,4,76,,1,32.5,0.928026417,15,0.707480504,121,0.974383442,,0,,0,3.609890363
Jabrill Peppers,2017,S,Michigan,213,5,11,71,4.46,0.913445628,35.5,0.925280048,19,0.817983766,128,0.940854271,,0,,0,3.597563713
Jack Tocho,2017,CB,North Carolina State,202,6,1,73,4.54,0.874979715,35,0.889506582,21,0.881549404,125,0.895898236,,0,,0,3.541933937
Nate Gerry,2017,S,Nebraska,218,6,2,74,4.58,0.948860446,30.5,0.847998228,17,0.780710942,122,0.956582613,,0,,0,3.53415223
Pharaoh Brown,2017,TE,Oregon,255,6,6,78,,1,34,1.165522313,24,1.358936478,,0,,0,,0,3.524458791
Alvin Kamara,2017,RB,Tennessee,214,5,10,70,4.56,0.884965986,39.5,1.019801863,15,0.639670325,131,0.953800505,,0,,0,3.498238679
Kareem Hunt,2017,RB,Toledo,216,5,10,70,4.62,0.881636219,36.5,0.951155553,18,0.774778263,119,0.874526938,,0,,0,3.482096974
Cameron Sutton,2017,CB,Tennessee,188,5,11,71,4.52,0.795531482,34,0.782171535,11,0.417986269,120,0.77852378,6.81,0.707025463,,0,3.48123853
Josh Harvey-Clemons,2017,S,Louisville,217,6,4,76,,1,31.5,0.895345741,12,0.563388145,121,0.969913793,,0,,0,3.428647678
Aviante Collins,2017,OG,TCU,295,6,4,76,4.81,1.255654449,,0,34,2.170039589,,0,,0,,0,3.425694038
JuJu Smith-Schuster,2017,WR,USC,215,6,1,73,4.54,0.931290291,32.5,0.879126908,15,0.670201987,120,0.915412851,,0,,0,3.396032036
Marlon Mack,2017,RB,South Florida,213,5,11,71,4.5,0.905326111,35.5,0.925280048,15,0.645776658,125,0.918802999,,0,,0,3.395185815
Corey Clement,2017,RB,Wisconsin,220,5,10,70,4.68,0.886450472,28.5,0.756436494,19,0.832966343,115,0.86078165,,0,,0,3.336634959
Michael Tyson,2017,S,Cincinnati,204,6,1,73,4.56,0.879767254,33,0.846981373,17,0.720700927,118,0.854101479,,0,,0,3.301551033
DeAngelo Henderson,2017,RB,Coastal Carolina,208,5,7,67,4.48,0.837991728,34,0.816627399,20,0.793453107,120,0.812818955,,0,,0,3.260891188
Jesus Wilson,2017,WR,Florida State,189,5,9,69,4.57,0.768730837,26.35,0.592240914,10,0.371247918,119,0.754279484,,0,4.57,0.762368357,3.24886751
Ashton Lampkin,2017,CB,Oklahoma State,189,6,1,73,4.52,0.822291569,34.5,0.820371664,19,0.746262119,120,0.804711762,,0,,0,3.193637114
Jeremy Sprinkle,2017,TE,Arkansas,252,6,5,77,4.69,1.114546086,29,0.96983121,,0,116,1.094016051,,0,,0,3.178393348
Nate Hairston,2017,CB,Temple,196,6,1,73,4.52,0.852746812,35.5,0.875415389,14,0.570243179,118,0.820607303,,0,,0,3.119012683
T.J. Logan,2017,RB,North Carolina,196,5,9,69,4.37,0.833687583,33.5,0.780830666,17,0.654496329,121,0.795362244,,0,,0,3.064376822
Treston DeCoud,2017,CB,Oregon State,206,6,2,74,4.62,0.888866569,31,0.814455811,11,0.477358606,116,0.859471279,,0,,0,3.040152265
Matthew Dayes,2017,RB,North Carolina State,205,5,9,69,4.47,0.852462016,28,0.682602501,18,0.724817363,109,0.749383089,,0,,0,3.00926497
Arthur Maulet,2017,CB,Memphis,189,5,10,70,4.62,0.771431692,34.5,0.78665776,18,0.67793098,120,0.771641416,,0,,0,3.007661849
Noel Thomas,2017,WR,Connecticut,205,6,1,73,4.63,0.87071362,32.5,0.838237285,9,0.383417881,118,0.858288251,,0,,0,2.950657036
Stacy Coley,2017,WR,Miami (FL),195,6,1,73,4.45,0.861741619,34,0.834148322,10,0.40523841,122,0.844095803,,0,,0,2.945224155
Colin Holba,2017,LS,Louisville,248,6,4,76,5.19,0.978312321,28,0.909557578,,0,115,1.053507307,,0,,0,2.941377207
Ezra Robinson,2017,CB,Tennessee State,189,5,11,71,4.47,0.808708928,34,0.786332022,13,0.496611345,130,0.847886936,,0,,0,2.939539232
Marlon Humphrey,2017,CB,Alabama,197,6,1,73,4.41,0.878476412,,0,10,0.409394702,125,0.873722537,6.75,0.755030689,,0,2.916624339
Jourdan Lewis,2017,CB,Michigan,188,5,10,70,4.54,0.780871629,34.5,0.78249555,15,0.56195337,121,0.773954979,,0,,0,2.899275529
Montae Nicholson,2017,S,Michigan State,212,6,2,74,4.42,0.956147556,35,0.946329802,,0,125,0.953129766,,0,,0,2.855607124
Teez Tabor,2017,CB,Florida,199,6,1,73,4.62,0.84705882,31,0.776147964,9,0.372195894,120,0.847289104,,0,,0,2.842691782
K.D. Cannon,2017,WR,Baylor,182,5,11,71,4.41,0.789352075,37,0.824021139,13,0.478218332,119,0.747396633,,0,,0,2.83898818
J.J. Dielman,2017,OT,Utah,309,6,5,77,,1,,0,27,1.828799526,,0,,0,,0,2.828799526
C.J. Beathard,2017,QB,Iowa,219,6,2,74,,1,31,0.865853507,,0,113,0.890079333,,0,,0,2.75593284
Rushel Shell III,2017,RB,West Virginia,227,5,10,70,4.74,0.903077794,32.5,0.890049479,21,0.949940324,,0,,0,,0,2.743067598
Ryan Ramczyk,2017,OT,Wisconsin,310,6,6,78,,1,,0,25,1.720875442,,0,,0,,0,2.720875442
Marshon Lattimore,2017,CB,Ohio State,193,6,1,73,4.36,0.870509045,38.5,0.934862611,,0,132,0.903916969,,0,,0,2.709288624
Jamari Staples,2017,WR,Louisville,195,6,3,75,4.51,0.873572474,36,0.907413566,,0,130,0.924088713,,0,,0,2.705074753
Damontae Kazee,2017,CB,San Diego State,184,5,10,70,4.54,0.76425734,34,0.754747481,11,0.403331071,124,0.776268542,,0,,0,2.698604434
Jahad Thomas,2017,RB,Temple,190,5,10,70,4.62,0.775513341,32,0.733514176,11,0.416483171,116,0.749866702,,0,,0,2.67537739
Carlos Watkins,2017,DT,Clemson,309,6,3,75,,1,,0,25,1.649350222,,0,,0,,0,2.649350222
ArDarius Stewart,2017,WR,Alabama,204,5,11,71,4.49,0.869004015,34,0.848739326,,0,124,0.872940494,,0,,0,2.590683835
Bradley Northnagel,2017,LS,California,243,6,2,74,5.3,0.913990605,25.5,0.790287415,,0,99,0.865261991,,0,,0,2.569540011
John Ross,2017,WR,Washington,188,5,11,71,4.22,0.852085853,37,0.851186671,,0,133,0.862863857,,0,,0,2.566136381
Marquez White,2017,CB,Florida State,194,6,1,73,4.59,0.831173163,36,0.878686559,,0,123,0.846650444,,0,,0,2.556510166
Tyler Orlosky,2017,C,West Virginia,298,6,3,75,,1,,0,24,1.527010069,,0,,0,,0,2.527010069
Chris Wormley,2017,DT,Michigan,298,6,5,77,,1,,0,23,1.50240824,,0,,0,,0,2.50240824
Chunky Clements,2017,DT,Illinois,301,6,2,74,,1,,0,23,1.458408487,,0,,0,,0,2.458408487
Tarik Cohen,2017,RB,North Carolina A&T,179,5,6,66,4.42,0.720036157,31.5,0.641378522,11,0.369949788,118,0.67756882,,0,,0,2.408933287
Davon Gaudchaux,2017,DT,LSU,310,6,3,75,5.27,1.188480198,,0,18,1.191375306,,0,,0,,0,2.379855504
Adoree Jackson,2017,CB,USC,186,5,10,70,4.42,0.793539086,36,0.807830744,,0,122,0.772049692,,0,,0,2.373419521
Joe Mathis,2017,DE,Washington,266,6,2,74,,1,,0,24,1.344862023,,0,,0,,0,2.344862023
Donnel Pumphrey,2017,RB,San Diego State,176,5,8,68,4.48,0.719653057,33.5,0.690992414,5,0.170351011,117,0.680584229,,0,,0,2.261580712
DeMarcus Walker,2017,DE,Florida State,280,6,4,76,,1,,0,18,1.090428667,,0,,0,,0,2.090428667
Cole Hikutini,2017,TE,Louisville,247,6,4,76,,1,,0,20,1.068793178,,0,,0,,0,2.068793178
Kendell Beckwith,2017,ILB,LSU,243,6,2,74,,1,,0,20,1.023814134,,0,,0,,0,2.023814134
Cethan Carter,2017,TE,Nebraska,241,6,3,75,4.68,1.040428071,,0,19,0.977653678,,0,,0,,0,2.018081749
Jeremy Clark,2017,CB,Michigan,220,6,3,75,,1,,0,20,0.939435725,,0,,0,,0,1.939435725
Justin Vogel,2017,P,Miami (FL),219,6,4,76,4.7,0.953980411,34,0.975311885,,0,,0,,0,,0,1.929292296
Justin Davis,2017,RB,USC,208,6,1,73,,1,,0,21,0.907734039,,0,,0,,0,1.907734039
Leonard Fournette,2017,RB,LSU,240,6,1,73,4.51,1.046495025,28.5,0.86056931,,0,,0,,0,,0,1.907064335
D'Onta Foreman,2017,RB,Texas,233,6,1,73,,1,,0,18,0.871574304,,0,,0,,0,1.871574304
Elijah Hood,2017,RB,North Carolina,232,6,1,73,,1,,0,18,0.867833642,,0,,0,,0,1.867833642
Johnathan Ford,2017,S,Auburn,205,5,11,71,,1,,0,20,0.82869618,,0,,0,,0,1.82869618
Keon Hatcher,2017,WR,Arkansas,212,6,1,73,4.64,0.89850469,,0,16,0.70490702,,0,,0,,0,1.60341171
Justin Evans,2017,S,Texas A&M,199,6,1,73,,1,,0,14,0.578971391,,0,,0,,0,1.578971391
William Likely,2017,CB,Maryland,180,5,7,67,,1,,0,15,0.514981584,,0,,0,,0,1.514981584
Eddie Jackson,2017,S,Alabama,201,6,1,73,,1,,0,10,0.417707285,,0,,0,,0,1.417707285
Greg Ward Jr.,2017,WR,Houston,186,5,11,71,,1,,0,10,0.375945096,,0,,0,,0,1.375945096
Ryan Anderson,2017,OLB,Alabama,253,6,2,74,4.78,1.055125095,,0,,0,,0,,0,,0,1.055125095
Toby Baker,2017,P,Arkansas,210,6,3,75,,1,,0,,0,,0,,0,,0,1
Harrison Butker,2017,K,Georgia Tech,199,6,4,76,,1,,0,,0,,0,,0,,0,1
Jake Butt,2017,TE,Michigan,246,6,5,77,,1,,0,,0,,0,,0,,0,1
Corey Davis,2017,WR,West. Michigan,209,6,3,75,,1,,0,,0,,0,,0,,0,1
Jarrad Davis,2017,ILB,Florida,238,6,1,73,,1,,0,,0,,0,,0,,0,1
Keionta Davis,2017,DE,Tenn-Chattanooga,271,6,3,75,,1,,0,,0,,0,,0,,0,1
Reuben Foster,2017,ILB,Alabama,229,6,1,73,,1,,0,,0,,0,,0,,0,1
Zane Gonzalez,2017,K,Arizona State,202,6,1,73,,1,,0,,0,,0,,0,,0,1
Treyvon Hester,2017,DT,Toledo,300,6,2,74,,1,,0,,0,,0,,0,,0,1
Malik Hooker,2017,S,Ohio State,206,6,1,73,,1,,0,,0,,0,,0,,0,1
Hayden Hunt,2017,P,Colorado State,212,6,1,73,,1,,0,,0,,0,,0,,0,1
Roderick Johnson,2017,OT,Florida State,298,6,7,79,,1,,0,,0,,0,,0,,0,1
Brad Kaaya,2017,QB,Miami (FL),214,6,4,76,,1,,0,,0,,0,,0,,0,1
Marcus Maye,2017,S,Florida,210,6,1,73,,1,,0,,0,,0,,0,,0,1
Jalen Reeves-Maybin,2017,OLB,Tennessee,230,6,1,73,,1,,0,,0,,0,,0,,0,1
Austin Rehkow,2017,P,Idaho,214,6,3,75,,1,,0,,0,,0,,0,,0,1
Seth Russell,2017,QB,Baylor,213,6,3,75,,1,,0,,0,,0,,0,,0,1
Conrad Ukropina,2017,K,Stanford,190,6,1,73,,1,,0,,0,,0,,0,,0,1
Dede Westbrook,2017,WR,Oklahoma,178,6,1,73,,1,,0,,0,,0,,0,,0,1
Mack Hollins,2017,WR,North Carolina,221,6,4,76,4.53,0.998820097,,0,,0,,0,,0,,0,0.998820097
Corn Elder,2017,CB,Miami (FL),183,5,10,70,4.55,0.758433209,,0,,0,,0,,0,,0,0.758433209
Cameron Johnston,2017,P,Ohio State,194,5,11,71,4.92,0.754179258,,0,,0,,0,,0,,0,0.754179258
Jake Elliott,2017,K,Memphis,167,5,9,69,4.79,0.648051703,,0,,0,,0,,0,,0,0.648051703
Stephane Nembot,2016,OT,Colorado,322,6,7,79,5.39,1.271375405,26.5,1.161811655,32,2.317320337,103,1.273487324,8.55,1.691690158,5.15,1.675822277,9.391507157
Dominique Robertson,2016,OT,West Georgia,324,6,5,77,5.36,1.253864347,28.5,1.22542712,30,2.130640224,100,1.212579367,8.42,1.6338778,4.83,1.541418735,8.997807594
D.J. Reader,2016,DT,Clemson,327,6,3,75,5.33,1.23954248,29.5,1.246918086,30,2.09451465,99,1.180099563,7.9,1.506981262,4.71,1.477636773,8.745692814
Halapoulivaati Vaitai,2016,OT,TCU,320,6,6,78,5.26,1.278316648,29,1.247525613,23,1.634276548,113,1.370873759,8.26,1.603601203,5,1.596439088,8.731032859
Connor McGovern,2016,OG,Missouri,306,6,4,76,5.11,1.226009193,33,1.322683241,33,2.184751722,109,1.232071624,7.5,1.35665065,4.65,1.38332982,8.705496249
Jason Spriggs,2016,OT,Indiana,301,6,6,78,4.94,1.280305931,31.5,1.274613589,31,2.071934032,115,1.312300751,7.7,1.40612383,4.44,1.333465659,8.678743792
Spencer Drango,2016,OT,Baylor,315,6,6,78,5.27,1.255955203,27,1.143341093,30,2.098357797,100,1.194206953,7.88,1.505924223,4.66,1.464633085,8.662418353
Vernon Butler,2016,DT,Louisiana Tech,323,6,4,76,5.33,1.240704946,29.5,1.248087469,26,1.816948402,104,1.240863165,7.82,1.493119656,4.76,1.494723404,8.534447041
Alex Lewis,2016,OT,Nebraska,312,6,6,78,5.22,1.255909373,29.5,1.237308809,27,1.870536093,100,1.182833553,7.94,1.502939311,4.72,1.469362536,8.518889675
Dean Lowry,2016,DE,Northwestern,296,6,6,78,4.87,1.277135452,32.5,1.293232371,30,1.971790183,114,1.279279981,7.26,1.303751075,4.38,1.293594593,8.418783654
Javon Hargrave,2016,DT,South Carolina State,309,6,1,73,4.93,1.232576911,34.5,1.341242563,29,1.862226357,109,1.195039544,7.9,1.386054081,4.7,1.356178842,8.373318298
Joshua Garnett,2016,OG,Stanford,312,6,4,76,5.32,1.200704566,29,1.185149333,30,2.02508181,99,1.140979443,7.62,1.405383669,4.64,1.4074207,8.36471952
Andrew Billings,2016,DT,Baylor,311,6,1,73,5.05,1.211076227,27.5,1.076026173,31,2.003540264,113,1.246912939,8.05,1.421513127,4.82,1.399806657,8.358875387
Vadal Alexander,2016,OT,LSU,326,6,5,77,5.57,1.214039279,24,1.038308619,25,1.786493604,95,1.159061204,8.04,1.56977034,4.9,1.573410965,8.34108401
Joe Dahl,2016,OT,Washington State,304,6,4,76,5.18,1.201536655,31,1.23439957,28,1.84161286,109,1.224018869,7.64,1.37294228,4.77,1.409753957,8.28426419
Jack Conklin,2016,OT,Michigan State,308,6,6,78,5,1.294359522,30,1.242148348,25,1.709773019,103,1.202699091,7.63,1.425744162,4.57,1.404427376,8.279151519
Joe Thuney,2016,OT,North Carolina State,304,6,5,77,4.95,1.273909915,28.5,1.149783471,28,1.865844608,110,1.251501668,7.47,1.360055577,4.54,1.359433378,8.260528616
Darrell Greene,2016,OG,San Diego State,321,6,3,75,5.2,1.247218546,21.5,0.892096115,28,1.919010976,98,1.146744882,8.07,1.511163918,4.98,1.533675238,8.249909675
Matt Ioannidis,2016,DT,Temple,299,6,3,75,5.03,1.201002951,28,1.082174697,32,2.042845686,108,1.177146853,7.78,1.35701233,4.71,1.3511113,8.211293817
Ryan Kelly,2016,C,Alabama,311,6,4,76,5.03,1.265859789,30,1.222087011,26,1.749445675,103,1.18327488,7.58,1.393525537,4.59,1.387792174,8.201985066
Alex Redmond,2016,OG,UCLA,294,6,5,77,5.3,1.150646164,28,1.092453547,30,1.933358722,111,1.221336885,7.75,1.36461928,4.9,1.418965717,8.181380316
Chris Jones,2016,DT,Mississippi State,310,6,6,78,5.03,1.294994487,24.5,1.021008301,26,1.789710459,106,1.245766364,7.44,1.399268241,4.62,1.429012538,8.17976039
Tyler Marz,2016,OT,Wisconsin,316,6,7,79,5.54,1.213903091,27.5,1.18318801,19,1.350270895,99,1.201223465,8.38,1.627158793,4.97,1.587114758,8.162859011
Hassan Ridgeway,2016,DT,Texas,303,6,3,75,5.02,1.219494322,32,1.253316515,24,1.552631044,113,1.248121241,8.28,1.46354464,4.82,1.401163119,8.138270881
Denver Kirkland,2016,OT,Arkansas,335,6,4,76,5.55,1.235790989,22.5,0.987296982,19,1.377098902,94,1.163216869,8.72,1.726818247,5.06,1.647960066,8.138182055
Pearce Slater,2016,OT,San Diego State,329,6,7,79,5.42,1.291823887,23,1.030285808,17,1.25783896,92,1.162211733,8.36,1.690055675,5.12,1.702278906,8.134494967
Vincent Valentine,2016,DT,Nebraska,329,6,4,76,5.19,1.297841749,29,1.249724777,17,1.210072923,110,1.336831327,8.03,1.561697016,4.59,1.468114551,8.124282343
Christian Westerman,2016,OG,Arizona State,298,6,3,75,5.12,1.175945446,26.35,1.014997656,34,2.163264265,98,1.06457936,7.69,1.336828243,4.71,1.346592533,8.102207502
Willie Henry,2016,DT,Michigan,303,6,3,75,5,1.2243723,30.5,1.194567303,28,1.811402884,110,1.214985279,7.57,1.338047455,4.53,1.316860774,8.100235995
Shawn Oakman,2016,DE,Baylor,287,6,8,80,4.96,1.247009653,32,1.266277104,23,1.503324902,123,1.372623513,7.53,1.344740872,4.56,1.339289591,8.073265634
Taylor Decker,2016,OT,Ohio State,310,6,7,79,5.23,1.261440308,29,1.224034546,20,1.394350358,101,1.202221797,7.7,1.466733648,4.76,1.491191794,8.039972451
Joel Heath,2016,DT,Michigan State,293,6,5,77,5.02,1.210693571,33,1.283155168,26,1.669878316,113,1.239113897,7.44,1.305578609,4.52,1.304471357,8.012890919
Willie Beavers,2016,OT,West. Michigan,321,6,5,77,5.28,1.26107653,25.5,1.086282618,20,1.407274716,103,1.237392334,7.96,1.530314066,4.71,1.489204816,8.01154508
Sheldon Rankins,2016,DT,Louisville,299,6,1,73,5.03,1.168976206,34.5,1.297836654,28,1.739823576,118,1.251844814,7.44,1.26310289,4.59,1.2815764,8.00316054
Austin Johnson,2016,DT,Penn State,314,6,4,76,5.32,1.20840139,26,1.069358881,25,1.69838592,96,1.113496644,7.84,1.455228019,4.75,1.450022086,7.994892938
Maliek Collins,2016,DT,Nebraska,311,6,2,74,5.03,1.232547689,29.5,1.170094713,25,1.637891953,109,1.21925079,7.53,1.34790359,4.52,1.330663704,7.938352437
Graham Glasgow,2016,C,Michigan,307,6,6,78,5.13,1.257463017,25,1.031762832,23,1.567884064,106,1.233710561,7.63,1.421115123,4.63,1.418246552,7.930182149
Jerald Hawkins,2016,OT,LSU,305,6,6,78,5.23,1.225384439,23.5,0.963538775,23,1.557669835,100,1.156295621,8.19,1.515479579,4.89,1.488130673,7.906498923
Nick Martin,2016,C,Notre Dame,299,6,4,76,5.22,1.172718795,28,1.096603693,28,1.811323175,97,1.071348963,7.57,1.337988575,4.72,1.372032966,7.862016167
Tyler Johnstone,2016,OT,Oregon,301,6,5,77,5.21,1.198392564,30.5,1.218327234,24,1.583512858,104,1.171561251,7.31,1.31779041,4.6,1.3638067,7.853391016
Matt Skura,2016,C,Duke,305,6,3,75,5.39,1.143278261,24,0.946191923,27,1.758239363,103,1.145177394,7.89,1.40381491,4.76,1.392854728,7.789556579
Ronald Blair,2016,DE,Appalachian State,284,6,2,74,5.15,1.099315721,30,1.086621282,32,1.914490298,113,1.15425813,7.95,1.299537851,4.53,1.217828208,7.772051489
A'Shawn Robinson,2016,DT,Alabama,307,6,4,76,5.2,1.208727025,26,1.04551967,22,1.461260956,106,1.202076956,7.8,1.415527514,4.74,1.414712128,7.747824249
Cole Toner,2016,OT,Harvard,306,6,5,77,5.32,1.193109015,26,1.055826096,22,1.475665637,103,1.179570262,7.88,1.444142716,4.59,1.38344725,7.731760976
Matt Judon,2016,DE,Grand Valley State,275,6,3,75,4.73,1.174660661,35,1.24413897,30,1.761441984,109,1.09268478,7.67,1.230441771,4.52,1.192532323,7.69590049
Sebastian Tretola,2016,OG,Arkansas,314,6,4,76,5.45,1.179577136,23.5,0.966535911,22,1.494579609,90,1.043903103,7.94,1.473789601,5.02,1.532444394,7.690829755
Ufomba Kamalu,2016,DE,Miami (FL),295,6,5,77,5.01,1.221390741,25,0.978722657,26,1.681276802,106,1.170288791,7.32,1.293288951,4.58,1.330809788,7.675777729
Jake Brendel,2016,C,UCLA,303,6,3,75,5.01,1.221928443,28,1.09665195,25,1.617324004,108,1.192894637,7.31,1.292090739,4.27,1.24127936,7.662169134
