Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Austin Allen,2022,TE,Nebraska,253,6,8,80,4.83,1.12886754,34,1.186031756,,0,121,1.190338053,7,1.101996698,4.26,1.102955205,5.710189252
Jeffrey Gunter,2022,EDGE,Coastal Carolina,258,6,4,76,4.7,1.123867334,35.5,1.199688632,,0,122,1.16269972,7.21,1.09961412,4.35,1.091089364,5.67695917
Cal Adomitis,2022,LS,Pittsburgh,235,6,2,74,4.97,0.942589942,29.5,0.884155169,18,0.891097487,107,0.904394263,7.53,1.018512359,4.62,1.027730688,5.668479907
Chase Allen,2022,TE,Iowa St.,251,6,6,78,,1,33.5,1.13036844,,0,117,1.113342082,7.03,1.0705215,4.43,1.109455322,5.423687344
Austin Deculus,2022,OT,LSU,321,6,5,77,5.08,1.310725212,28.5,1.214080573,,0,109,1.309473441,,0,4.99,1.577735038,5.412014264
Nik Bonitto,2022,EDGE,Oklahoma,248,6,3,75,4.54,1.103663549,35.5,1.138015532,,0,120,1.084847342,7.07,1.02283152,4.23,1.006447392,5.355805335
Luke Tenuta,2022,OT,Virginia Tech,319,6,8,80,5.41,1.270758469,26,1.143565146,,0,104,1.289996251,,0,4.77,1.557172826,5.261492692
John Ridgeway,2022,DT,Arkansas,321,6,5,77,5.3,1.25631775,26.35,1.122492038,,0,101,1.213365298,,0,4.73,1.495528403,5.08770349
Braxton Jones,2022,OT,Southern Utah St.,310,6,5,77,4.97,1.293825297,25.5,1.04905798,,0,108,1.25299868,,0,4.84,1.477867668,5.073749624
Dominique Robinson,2022,EDGE,Miami (Ohio),253,6,5,77,4.72,1.111856798,41,1.376581711,25,1.386450557,121,1.145700376,,0,,0,5.020589442
Tre Williams,2022,EDGE,Arkansas,253,6,4,76,5.08,1.019647384,26.5,0.878186749,,0,104,0.971945451,7.2,1.076808202,4.24,1.042888161,4.989475946
Kyle Hamilton,2022,S,Notre Dame,220,6,4,76,4.59,0.981303156,38,1.095031877,,0,131,1.064589081,6.9,0.897340168,4.32,0.923969823,4.962234105
Spencer Burford,2022,OG,Texas-San Antonio,304,6,4,76,5.19,1.199221555,27.5,1.095031877,,0,105,1.179100745,,0,4.73,1.397932121,4.871286298
Logan Hall,2022,DE,Houston,283,6,6,78,4.88,1.218542902,30,1.141324618,,0,,0,7.25,1.244774806,4.44,1.253723526,4.858365853
Alec Pierce,2022,WR,Cincinnati,211,6,3,75,4.41,0.96668446,40.5,1.104601514,,0,129,0.992219751,7.13,0.877616932,4.28,0.866413588,4.807536245
Phidarian Mathis,2022,DT,Alabama,310,6,4,76,,1,23.5,0.954223352,,0,109,1.248177136,,0,4.91,1.479771114,4.682171602
Amaré Barno,2022,EDGE,Virginia Tech,246,6,5,77,4.36,1.170358601,37,1.207909643,,0,131,1.206067367,,0,4.45,1.078260288,4.662595899
Desmond Ridder,2022,QB,Cincinnati,211,6,3,75,4.52,0.943158953,36,0.981868012,,0,127,0.976836499,7.15,0.88007869,4.29,0.868437919,4.650380074
Nephi Sewell,2022,LB,Utah,226,6,1,73,4.67,0.951686758,32,0.909888487,,0,120,0.962247927,7.01,0.899541206,4.33,0.913812223,4.637176601
Jordan Davis,2022,DT,Georgia,341,6,6,78,4.78,1.498996756,32,1.466918049,,0,123,1.590114991,,0,,0,4.556029796
Jack Coan,2022,QB,Notre Dame,218,6,3,75,4.9,0.898879105,33,0.929905013,,0,115,0.913881816,6.95,0.883841331,4.39,0.918163543,4.544670808
DeMarvin Leal,2022,DT,Texas A&M,283,6,4,76,5,1.158803055,27.5,1.019388227,,0,106,1.108103514,,0,4.49,1.235333264,4.52162806
David Ojabo,2022,EDGE,Michigan,250,6,4,76,4.55,1.124920451,35,1.1461159,,0,122,1.126647015,,0,4.45,1.081561898,4.479245264
Zachary Carter,2022,DE,Florida,282,6,4,76,4.99,1.157022389,27.5,1.015786149,19,1.159229523,110,1.145855423,,0,,0,4.477893485
Arnold Ebiketie,2022,EDGE,Penn St.,250,6,2,74,,1,38,1.211608237,21,1.105972058,128,1.150949151,,0,,0,4.468529446
Tycen Anderson,2022,S,Toledo,209,6,2,74,4.36,0.955588962,35.5,0.946266033,,0,123,0.924607807,6.64,0.798762799,4.28,0.846758456,4.471984057
Dai'Jean Dixon,2022,WR,Nicholls St.,205,6,3,75,4.62,0.896505084,34,0.900950506,,0,125,0.934113344,7.28,0.87059917,4.42,0.869310972,4.471479077
Devin Lloyd,2022,LB,Utah,237,6,3,75,4.66,1.027550798,35,1.072221585,25,1.265035607,126,1.088565568,,0,,0,4.453373558
EJ Perry,2022,QB,Brown,211,6,2,74,4.65,0.904567188,34.5,0.928410754,,0,123,0.933455729,6.85,0.831910281,4.18,0.83488801,4.433231961
David Bell,2022,WR,Purdue,212,6,1,73,4.65,0.896572422,33,0.880196329,,0,118,0.887595654,7.14,0.859465954,4.57,0.90471687,4.428547229
Kevin Austin Jr.,2022,WR,Notre Dame,200,6,2,74,4.43,0.89998982,39,0.994794131,,0,132,0.94953305,6.71,0.772424393,4.15,0.785683404,4.402424798
Dane Belton,2022,S,Iowa,205,6,1,73,4.43,0.91002349,36.5,0.94140495,,0,123,0.894656397,7.01,0.815955519,4.24,0.81167159,4.373711946
Skylar Thompson,2022,QB,Kansas St.,217,6,2,74,4.91,0.881027713,31,0.857946169,,0,112,0.87414588,7,0.87430153,4.28,0.879170262,4.366591555
